date,virtual_entry_jst,virtual_entry_price,buy_mfe_usd,buy_mae_usd,sell_mfe_usd,sell_mae_usd,buy_mfe_bar_idx,buy_mae_bar_idx,sell_mfe_bar_idx,sell_mae_bar_idx,bars_traced
2026-02-12,2026-02-12 14:00:00,5059.560,24.080,180.980,180.980,24.080,7,10,10,7,48
2026-02-13,2026-02-13 14:00:00,4967.230,85.430,109.240,109.240,85.430,16,43,43,16,48
2026-02-16,2026-02-16 14:00:00,4994.770,22.370,152.490,152.490,22.370,4,29,29,4,48
2026-02-17,2026-02-17 14:00:00,4910.190,111.870,67.910,67.910,111.870,48,8,8,48,48
2026-02-18,2026-02-18 14:00:00,4930.760,99.990,24.370,24.370,99.990,48,5,5,48,48
2026-02-19,2026-02-19 14:00:00,5018.240,158.290,54.180,54.180,158.290,42,8,8,42,48
2026-02-20,2026-02-20 14:00:00,5020.550,229.090,29.720,29.720,229.090,39,9,9,39,48
2026-02-23,2026-02-23 14:00:00,5145.630,104.010,53.820,53.820,104.010,16,31,31,16,48
2026-02-24,2026-02-24 14:00:00,5173.480,44.040,81.670,81.670,44.040,34,8,8,34,48
2026-02-25,2026-02-25 14:00:00,5194.690,22.830,64.340,64.340,22.830,11,32,32,11,48
2026-02-26,2026-02-26 14:00:00,5193.220,225.820,62.870,62.870,225.820,47,9,9,47,48
2026-02-27,2026-02-27 14:00:00,5185.650,233.390,16.980,16.980,233.390,24,4,4,24,48
2026-03-02,2026-03-02 14:00:00,5387.470,31.570,391.310,391.310,31.570,1,32,32,1,48
2026-03-03,2026-03-03 14:00:00,5310.550,25.320,314.390,314.390,25.320,2,9,9,2,48
2026-03-04,2026-03-04 14:00:00,5160.500,45.450,109.510,109.510,45.450,6,35,35,6,48
2026-03-05,2026-03-05 14:00:00,5167.540,30.280,152.590,152.590,30.280,39,42,42,39,48
2026-03-06,2026-03-06 14:00:00,5115.620,82.200,100.670,100.670,82.200,16,19,19,16,48
2026-03-09,2026-03-09 14:00:00,5097.680,140.820,37.140,37.140,140.820,32,8,8,32,48
2026-03-10,2026-03-10 14:00:00,5175.110,63.390,49.620,49.620,63.390,9,40,40,9,48
2026-03-11,2026-03-11 14:00:00,5197.470,4.530,142.750,142.750,4.530,1,37,37,1,48
2026-03-12,2026-03-12 14:00:00,5166.210,25.410,198.460,198.460,25.410,4,39,39,4,48
2026-03-13,2026-03-13 14:00:00,5088.060,33.730,120.310,120.310,33.730,6,16,16,6,48
2026-03-16,2026-03-16 14:00:00,5012.070,32.220,42.230,42.230,32.220,22,4,4,22,48
2026-03-17,2026-03-17 14:00:00,5009.970,21.540,323.240,323.240,21.540,7,48,48,7,48
2026-03-18,2026-03-18 14:00:00,5009.360,5.420,506.640,506.640,5.420,1,30,30,1,48
2026-03-19,2026-03-19 14:00:00,4763.750,20.440,665.600,665.600,20.440,1,47,47,1,48
2026-03-20,2026-03-20 14:00:00,4669.270,65.380,571.120,571.120,65.380,2,24,24,2,48
2026-03-23,2026-03-23 14:00:00,4220.220,382.340,122.070,122.070,382.340,42,1,1,42,48
2026-03-24,2026-03-24 14:00:00,4401.850,200.710,50.810,50.810,200.710,19,7,7,19,48
2026-03-25,2026-03-25 14:00:00,4545.350,40.270,194.130,194.130,40.270,5,37,37,5,48
2026-03-26,2026-03-26 14:00:00,4456.330,99.160,105.110,105.110,99.160,32,14,14,32,48
2026-03-27,2026-03-27 14:00:00,4459.300,160.040,55.290,55.290,160.040,41,5,5,41,48
2026-03-30,2026-03-30 14:00:00,4522.390,225.260,39.920,39.920,225.260,48,18,18,48,48
2026-03-31,2026-03-31 14:00:00,4568.900,231.410,39.560,39.560,231.410,40,5,5,40,48
2026-04-01,2026-04-01 14:00:00,4684.140,116.170,130.340,130.340,116.170,17,24,24,17,48
2026-04-02,2026-04-02 14:00:00,4594.110,112.330,40.310,40.310,112.330,27,1,1,27,48
2026-04-06,2026-04-06 14:00:00,4652.490,204.820,45.000,45.000,204.820,41,32,32,41,48
2026-04-07,2026-04-07 14:00:00,4642.810,214.500,35.320,35.320,214.500,18,9,9,18,48
2026-04-08,2026-04-08 14:00:00,4827.430,12.090,128.560,128.560,12.090,1,18,18,1,48
2026-04-09,2026-04-09 14:00:00,4713.060,88.050,73.130,73.130,88.050,12,39,39,12,48
